nombre del lugar,USD
Alejandría,50
Alicante,55
Antofagasta,85
Arequipa,50
Asunción,50
Austin TX,110
Bogotá,50
Bombay,50
Bucarest,60
Buenos Aires,50
Cancún,50
Cartagena de Indias,50
Ciudad de México,55
Ciudad del Este,50
Concepción,50
Córdoba AR,50
Cuiaba,50
Dallas,90
Dubai,95
El Cairo,50
Guayaquil,50
Gujarat,50
Hanoi,50
Houston,90
Hurghada,50
Johannesburgo,50
Jacksonville,100
Kahramanmaras,50
Karachi,50
Kiev,50
La Serena,50
Las Cruces,50
Liberia Costa Rica,50
Lima,50
Londres,115
Luanda,75
Madrid,70
Málaga,65
Manama,60
Manila,50
Mar del Plata,50
Miami,125
Montevideo,65
Munich,100
Murcia,60
Nueva York,120
Orlando,100
Perth,100
Phoenix,95
Puerto Vallarta,50
Phuket,50
Punta Cana,80
Punta del Este,80
Rosario,50
San José,50
San José  Cabo,85
Santa Cruz BO,50
Santiago,65
Seúl,60
Sao Paulo,50
St. George UT,70
Sto Domingo,50
Mazatlán,50
Valparaíso,50
Tampa,100
Toluca,50
